resource_id,resource_name,dialect,speakers,size,sampling_rate,annotation,access_status,license,paper_title,authors,venue,year,doi,fair_f,fair_a,fair_i,fair_r,tts_relevant
R01,Prosodic-annotated Tibetan TTS corpus,Ü-Tsang / Lhasa,NR,NR,NR,prosodic boundaries; pauses; hierarchy,NR,NR,Design of prosodic annotation rules for a Tibetan speech synthesis corpus,"Chen, C.; Chen, Q.; Li, Y.; Yu, H.",Journal of Northwest University for Nationalities (Natural Science Edition) 31(4),2010,,partial,NR,reported,NR,yes
R02,Lhasa-Tibetan synthesis corpus,Ü-Tsang / Lhasa,single or few speakers (source-reported),NR,NR,text-speech alignment; basic labels,NR,NR,Research and construction of a Tibetan Lhasa speech synthesis corpus,"Chen, X.",Science & Technology Information (9),2013,,partial,NR,reported,NR,yes
R03,Early HMM corpus,Ü-Tsang / Lhasa,single speaker,small-scale,NR,syllable; context; prosody,NR,NR,HMM-based Tibetan Lhasa speech synthesis,"Gao, L.; Yu, H.; Zheng, W.; et al.",Journal of Northwest University for Nationalities (Natural Science Edition) 32(4),2011,,partial,NR,reported,NR,yes
R04,Tibetan AMDO Dialect Speech Dataset,Amdo,NR,construction and analysis reported; duration NR,NR,read text; audio,NR,NR,Construction and analysis of Tibetan AMDO dialect speech dataset for speech synthesis,"Zhang, X.; Lu, W.; Zhao, X.; Zhu, Y.; Wei, J.",Proc. O-COCOSDA,2021,10.1109/O-COCOSDA202152914.2021.9660562,reported,NR,reported,NR,yes
R05,Tibetan emotional speech database (TESDB-2745),Tibetan emotional,multiple sources,"2,745 valid utterances",NR,emotion category; text; validity,restricted,NR,Construction of a Tibetan emotional speech database,"Pengmao, Z.; Cai, Z.; Cairang, Z.",Acta Scientiarum Naturalium Universitatis Pekinensis 59(5),2023,,reported,restricted,reported,restricted,yes
R06,Prosodic-boundary corpus for Tibetan TTS,Tibetan TTS task,NR,"20,975 utterances",NR,prosodic word / phrase / intonation boundaries,restricted,NR,Automatic labeling of Tibetan prosodic boundary based on speech synthesis tasks,"Yang, Z.; Khysru, K.; Zhu, Y.; Daijicuo, L.; Wei, J.",Proc. ACM Multimedia Asia Workshops (MMAsia '23),2023,10.1145/3611380.3628558,reported,restricted,reported,restricted,yes
R07,Lhasa-Tibetan multi-speaker corpus,Ü-Tsang / Lhasa,multiple speakers,NR,NR,speaker ID; text; audio,NR,NR,End-to-end speech synthesis method for Lhasa-Tibetan multi-speaker,"Xu, X.; Ma, W.; Dan, Z.; Ma, H.; Liu, T.; Zhao, Y.",Communications in Computer and Information Science 1586,2022,10.1007/978-3-031-06767-9_28,reported,NR,reported,NR,yes
R08,Tibetan Khampa dialect corpus,Kham,NR,construction and analysis reported; duration NR,NR,text-speech pairs,NR,NR,Construction and analysis of Tibetan Khampa dialect corpus for speech synthesis,"Zhu, Y.; Lu, W.; Yangzom; Hu, M.; Khysru, K.; Wei, J.",Proc. O-COCOSDA,2023,10.1109/O-COCOSDA60357.2023.10482918,reported,NR,reported,NR,yes
R09,2024 Lhasa 4-speaker dataset,Ü-Tsang / Lhasa,4,"6,452 utterances, ~7.47 h","16 kHz / 16-bit / mono",text; Wylie transliteration; audio,NR,NR,Tibetan speech synthesis based on pre-trained mixture alignment FastSpeech2,"Zhou, Q.; Xu, X.; Zhao, Y.",Applied Sciences 14(15),2024,10.3390/app14156834,reported,NR,reported,NR,yes
R10,Mid-scale Ü-Tsang corpus for VITS,Ü-Tsang,NR,"7,000 utterances",NR,automatic annotation; acoustic analysis,NR,NR,A fully end-to-end Tibetan speech synthesis method,"Labadunzhu; Guan, Z.; Deqing, Z.; et al.",Journal of Chinese Information Processing 38(9),2024,,partial,NR,reported,NR,yes
R11,Open speech resource for Tibetan multi-dialect and multitask recognition,Multiple Tibetan dialects,NR,NR,NR,recognition-oriented,NR,NR,An open speech resource for Tibetan multi-dialect and multitask recognition,"Zhao, Y.; Xu, X.; Yue, J.; et al.",International Journal of Computational Science and Engineering 22(2-3),2020,10.1504/IJCSE.2020.107351,reported,NR,reported,NR,no (recognition-related)
R12,Finer-grained modeling units meta-learning resource,Tibetan,NR,NR,NR,recognition-oriented,NR,NR,Finer-grained modeling units-based meta-learning for low-resource Tibetan speech recognition,"Qin, S.; Wang, L.; Li, S.; et al.",Proc. Interspeech,2022,10.21437/Interspeech.2022.10015,reported,NR,reported,NR,no (recognition-related)
